"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OC1","REM"
"00841599999","2020-03-13T04:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0285,1","+0231,1","10106,1","10105,1,99999,9","0098,1","MET105MOBOB2 METAR XM21 //000 073342 130454Z AUTO 02016G19KT 29/23 A2984 RMK A02 SLP106 T02850231 PA075 DA2023="
"00841599999","2020-03-13T05:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0285,1","+0232,1","10099,1","10098,1,99999,9","0108,1","MET105MOBOB2 METAR XM21 //000 073342 130554Z AUTO 02017G21KT 29/23 A2982 RMK A02 SLP099 T02850232 PA094 DA2047="
"00841599999","2020-03-13T08:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0088,1","99999,9,9,N","999999,9,9,9","+0282,1","+0225,1","10102,1","10102,1,99999,9","0108,1","MET105MOBOB2 METAR XM21 //000 073342 130854Z AUTO 02017G21KT 28/22 A2983 RMK A02 SLP102 T02820225 PA084 DA1987="
"00841599999","2020-03-13T10:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","040,1,N,0067,1","99999,9,9,N","999999,9,9,9","+0280,1","+0228,1","10112,1","10112,1,99999,9","0082,1","MET105MOBOB2 METAR XM21 //000 073342 131054Z AUTO 04013G16KT 28/23 A2986 RMK A02 SLP112 T02800228 PA057 DA1937="
"00841599999","2020-03-13T11:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","050,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0280,1","+0224,1","10116,1","10115,1,99999,9","0072,1","MET105MOBOB2 METAR XM21 //000 073342 131154Z AUTO 05012G14KT 28/22 A2987 RMK A02 SLP116 T02800224 PA047 DA1918="
"00841599999","2020-03-13T12:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","040,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0279,1","+0233,1","10119,1","10118,1,99999,9","0077,1","MET105MOBOB2 METAR XM21 //000 073342 131254Z AUTO 04012G15KT 28/23 A2988 RMK A02 SLP119 T02790233 PA038 DA1914="
"00841599999","2020-03-14T03:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0284,1","+0219,1","10089,1","10088,1,99999,9",,"MET102MOBOB2 METAR XM21 //000 073342 140354Z AUTO 02009KT 28/22 A2979 RMK A02 SLP089 T02840219 PA122 DA2044="
"00841599999","2020-03-14T05:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0287,1","+0230,1","10075,1","10074,1,99999,9","0088,1","MET105MOBOB2 METAR XM21 //000 073342 140554Z AUTO 02014G17KT 29/23 A2975 RMK A02 SLP075 T02870230 PA159 DA2145="
"00841599999","2020-03-14T06:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0286,1","+0228,1","10075,1","10074,1,99999,9","0088,1","MET105MOBOB2 METAR XM21 //000 073342 140654Z AUTO 02014G17KT 29/23 A2975 RMK A02 SLP075 T02860228 PA159 DA2130="
"00841599999","2020-03-14T07:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0284,1","+0225,1","10078,1","10078,1,99999,9","0082,1","MET105MOBOB2 METAR XM21 //000 073342 140754Z AUTO 02014G16KT 28/22 A2976 RMK A02 SLP078 T02840225 PA149 DA2089="
"00841599999","2020-03-14T08:55:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","020,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0284,1","+0224,1","10085,1","10085,1,99999,9","0072,1","MET105MOBOB2 METAR XM21 //000 073342 140855Z AUTO 02011G14KT 28/22 A2978 RMK A02 SLP085 T02840224 PA131 DA2065="
"00841599999","2020-03-14T09:55:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","030,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0282,1","+0224,1","10089,1","10088,1,99999,9",,"MET102MOBOB2 METAR XM21 //000 073342 140955Z AUTO 03009KT 28/22 A2979 RMK A02 SLP089 T02820224 PA122 DA2031="
"00841599999","2020-03-14T10:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","060,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0282,1","+0223,1","10095,1","10095,1,99999,9",,"MET102MOBOB2 METAR XM21 //000 073342 141054Z AUTO 06008KT 28/22 A2981 RMK A02 SLP095 T02820223 PA103 DA2007="
"00841599999","2020-03-14T11:54:00","4","7.3","134.2","+0000","XM21","FM-15","99999","V020","060,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0280,1","+0223,1","10106,1","10105,1,99999,9",,"MET102MOBOB2 METAR XM21 //000 073342 141154Z AUTO 06009KT 28/22 A2984 RMK A02 SLP106 T02800223 PA075 DA1949="
